route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
86,086,86 - LIBERTY,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.6856,
87,087,87 - FRIENDSHIP,East Liberty,Bus,2020-05-01,202005,SAT.,0.8452,
87,087,87 - FRIENDSHIP,East Liberty,Bus,2020-05-01,202005,SUN.,0.7031,
87,087,87 - FRIENDSHIP,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7665,
88,088,88 - PENN,East Liberty,Bus,2020-05-01,202005,SAT.,0.662,
88,088,88 - PENN,East Liberty,Bus,2020-05-01,202005,SUN.,0.7004,
88,088,88 - PENN,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.729,
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2020-05-01,202005,SAT.,0.8755,
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2020-05-01,202005,SUN.,0.8784,
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7912,
91,091,91 - BUTLER STREET,Ross,Bus,2020-05-01,202005,SAT.,0.6633,
91,091,91 - BUTLER STREET,Ross,Bus,2020-05-01,202005,SUN.,0.6433,
91,091,91 - BUTLER STREET,Ross,Bus,2020-05-01,202005,WEEKDAY,0.7148,
93,93,NA,NA,NA,2020-05-01,202005,SAT.,0,
93,93,NA,NA,NA,2020-05-01,202005,SUN.,0,
93,093,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.6794,
BLUE,BLUE,BLUE - SouthHills Village via Overbrook,South Hills Village,Light Rail,2020-05-01,202005,SAT.,0.9181,
BLUE,BLUE,BLUE - SouthHills Village via Overbrook,South Hills Village,Light Rail,2020-05-01,202005,SUN.,0.9165,
BLUE,BLUE,BLUE - SouthHills Village via Overbrook,South Hills Village,Light Rail,2020-05-01,202005,WEEKDAY,0.8951,
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2020-05-01,202005,SAT.,0.8704,
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2020-05-01,202005,SUN.,0.7897,
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2020-05-01,202005,WEEKDAY,0.8361,
G3,G3,G3 - MOON FLYER,Collier,Bus,2020-05-01,202005,SAT.,0,
G3,G3,G3 - MOON FLYER,Collier,Bus,2020-05-01,202005,SUN.,0,
G3,G3,G3 - MOON FLYER,Collier,Bus,2020-05-01,202005,WEEKDAY,0.6909,
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2020-05-01,202005,SAT.,0,
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2020-05-01,202005,SUN.,0,
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2020-05-01,202005,WEEKDAY,0.6187,
O1,O1,O1 - ROSS FLYER,Ross,Bus,2020-05-01,202005,SAT.,0,
O1,O1,O1 - ROSS FLYER,Ross,Bus,2020-05-01,202005,SUN.,0,
O1,O1,O1 - ROSS FLYER,Ross,Bus,2020-05-01,202005,WEEKDAY,0.6867,
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2020-05-01,202005,SAT.,0,
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2020-05-01,202005,SUN.,0,
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2020-05-01,202005,WEEKDAY,0.603,
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2020-05-01,202005,SAT.,0,
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2020-05-01,202005,SUN.,0,
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2020-05-01,202005,WEEKDAY,0.6652,
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2020-05-01,202005,SAT.,0.8308,
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2020-05-01,202005,SUN.,0.8441,
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.8871,
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.6956,
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.6771,
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2020-05-01,202005,SAT.,0,
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2020-05-01,202005,SUN.,0,
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2020-05-01,202005,WEEKDAY,0.6768,
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.703,
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.8276,
